X,Y,AddSystem,UTAddPtID,FullAdd,AddNum,AddNumSuff,PrefixDir,StreetName,StreetType,SuffixDir,LandmarkNa,Building,UnitType,UnitID,City,ZipCode,CountyID,State,PtLocation,PtType,Structure,ParcelID,AddSource,LoadDate
-111.623620216692359,40.206787134380775,PROVO,PROVO | 2005 S PARK ST,2005 S PARK ST,2005,,S,PARK,ST,,,,,,PROVO,84606,49049,UT,,,,361270022,UTAH COUNTY,2013/06/19
-111.622874996396718,40.206055259744375,PROVO,PROVO | 2081 S PARK ST,2081 S PARK ST,2081,,S,PARK,ST,,,,,,PROVO,84606,49049,UT,,,,361270017,UTAH COUNTY,2013/06/19
-111.622872559093267,40.20672611211598,PROVO,PROVO | 2002 S MONTANA AVE,2002 S MONTANA AVE,2002,,S,MONTANA,AVE,,,,,,PROVO,84606,49049,UT,,,,381820036,UTAH COUNTY,2013/06/19
-111.622859461363603,40.203099811688261,PROVO,PROVO | 2315 S STATE ST,2315 S STATE ST,2315,,S,STATE,ST,,,,,,PROVO,84606,49049,UT,,,,520660165,UTAH COUNTY,2013/06/19
-111.620065880621453,40.202282701544881,PROVO,PROVO | 2336 S DAKOTA AVE,2336 S DAKOTA AVE,2336,,S,DAKOTA,AVE,,,,,,PROVO,84606,49049,UT,,,,382320038,UTAH COUNTY,2013/06/19
-111.620256081026454,40.202408534889777,PROVO,PROVO | 2324 S DAKOTA AVE,2324 S DAKOTA AVE,2324,,S,DAKOTA,AVE,,,,,,PROVO,84606,49049,UT,,,,382320037,UTAH COUNTY,2013/06/19
-111.620608173970737,40.202686749933349,PROVO,PROVO | 2302 S DAKOTA AVE,2302 S DAKOTA AVE,2302,,S,DAKOTA,AVE,,,,,,PROVO,84606,49049,UT,,,,382320035,UTAH COUNTY,2013/06/19
-111.620432873893449,40.201334207696242,PROVO,PROVO | 2404 S TENNESSEE AVE,2404 S TENNESSEE AVE,2404,,S,TENNESSEE,AVE,,,,,,PROVO,84606,49049,UT,,,,381950006,UTAH COUNTY,2013/06/19
-111.620774481914879,40.204044565248708,PROVO,PROVO | 2196 S ALASKA AVE,2196 S ALASKA AVE,2196,,S,ALASKA,AVE,,,,,,PROVO,84606,49049,UT,,,,382780089,UTAH COUNTY,2013/06/19
-111.619939237705566,40.203910116563918,PROVO,PROVO | 2221 S ALASKA AVE,2221 S ALASKA AVE,2221,,S,ALASKA,AVE,,,,,,PROVO,84606,49049,UT,,,,382780091,UTAH COUNTY,2013/06/19
-111.621886215547377,40.20388399673682,PROVO,PROVO | 2208 S DAKOTA AVE,2208 S DAKOTA AVE,2208,,S,DAKOTA,AVE,,,,,,PROVO,84606,49049,UT,,,,382060081,UTAH COUNTY,2013/06/19
-111.621277079703177,40.203470583076871,PROVO,PROVO | 2232 S DAKOTA AVE,2232 S DAKOTA AVE,2232,,S,DAKOTA,AVE,,,,,,PROVO,84606,49049,UT,,,,382060031,UTAH COUNTY,2013/06/19
-111.622539167482927,40.204873322251778,PROVO,PROVO | 2169 S DAKOTA AVE,2169 S DAKOTA AVE,2169,,S,DAKOTA,AVE,,,,,,PROVO,84606,49049,UT,,,,382060068,UTAH COUNTY,2013/06/19
-111.619032253974737,40.202747712934688,PROVO,PROVO | 2316 S ALASKA AVE,2316 S ALASKA AVE,2316,,S,ALASKA,AVE,,,,,,PROVO,84606,49049,UT,,,,384020007,UTAH COUNTY,2013/06/19
-111.613030884114352,40.191708439667082,PROVO,PROVO | 3568 S ACCESS RD,3568 S ACCESS RD,3568,,S,ACCESS,RD,,,,,,PROVO,84606,49049,UT,,,,230020032,UTAH COUNTY,2013/06/19
-111.634634166558726,40.238772404310353,PROVO,PROVO | 1388 E 400 N,1388 E 400 N,1388,,E,400,,N,,,,,PROVO,84606,49049,UT,,,,391740031,UTAH COUNTY,2013/06/19
-111.665972709327875,40.226600560200353,PROVO,PROVO | 532 S 400 W,532 S 400 W,532,,S,400,,W,,,,,PROVO,84601,49049,UT,,,,40050004,UTAH COUNTY,2013/06/19
-111.664742941570651,40.227206571129848,PROVO,PROVO | 350 W 500 S,350 W 500 S,350,,W,500,,S,,,,,PROVO,84601,49049,UT,,,,40180002,UTAH COUNTY,2013/06/19
-111.660740634415873,40.231688573570921,PROVO,PROVO | 150 S 100 W,150 S 100 W,150,,S,100,,W,,,,,PROVO,84601,49049,UT,,,,40430015,UTAH COUNTY,2013/06/19
-111.668376814880844,40.228592902912652,PROVO,PROVO | 540 W 400 S,540 W 400 S,540,,W,400,,S,,,,,PROVO,84601,49049,UT,,,,40270021,UTAH COUNTY,2013/06/19
-111.668569466425694,40.228592781249148,PROVO,PROVO | 566 W 400 S,566 W 400 S,566,,W,400,,S,,,,,PROVO,84601,49049,UT,,,,40270010,UTAH COUNTY,2013/06/19
-111.668531970944869,40.229895928901918,PROVO,PROVO | 556 W 300 S,556 W 300 S,556,,W,300,,S,,,,,PROVO,84601,49049,UT,,,,40360001,UTAH COUNTY,2013/06/19
-111.65983965417648,40.228772344053318,PROVO,PROVO | 66 W 400 S,66 W 400 S,66,,W,400,,S,,,,,PROVO,84601,49049,UT,,,,40220001,UTAH COUNTY,2013/06/19
-111.665938082990365,40.229125808587959,PROVO,PROVO | 344 S 400 W,344 S 400 W,344,,S,400,,W,,,,,PROVO,84601,49049,UT,,,,40260012,UTAH COUNTY,2013/06/19
-111.666044872539374,40.229095913729878,PROVO,PROVO | 346 S 400 W,346 S 400 W,346,,S,400,,W,,,,,PROVO,84601,49049,UT,,,,40260012,UTAH COUNTY,2013/06/19
-111.666682171173321,40.229848758993136,PROVO,PROVO | 462 W 300 S,462 W 300 S,462,,W,300,,S,,,,,PROVO,84601,49049,UT,,,,40370006,UTAH COUNTY,2013/06/19
-111.65967525752022,40.236615190528433,PROVO,PROVO | 46 W 200 N,46 W 200 N,46,,W,200,,N,,,,,PROVO,84601,49049,UT,,,,40840020,UTAH COUNTY,2013/06/19
-111.665223364227799,40.238490709083642,PROVO,PROVO | 354 N 400 W,354 N 400 W,354,,N,400,,W,,,,,PROVO,84601,49049,UT,,,,41010007,UTAH COUNTY,2013/06/19
-111.665143116070823,40.238555406830542,PROVO,PROVO | 358 N 400 W,358 N 400 W,358,,N,400,,W,,,,,PROVO,84601,49049,UT,,,,41010007,UTAH COUNTY,2013/06/19
-111.665063420976296,40.238556495481532,PROVO,PROVO | 360 N 400 W,360 N 400 W,360,,N,400,,W,,,,,PROVO,84601,49049,UT,,,,41010007,UTAH COUNTY,2013/06/19
